SalePrice,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
157933.279456005,1471,120,RH,26.0,5858,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,1,354.0,1405,GasA,Ex,Y,SBrkr,1337,1,1,1337,1,1,2,1,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2.0,511.0,TA,TA,Y,203,68,1,1,1,1,Gd,MnWw,Gar2,1,6,2010,WD,Normal
145291.245020389,1472,160,RM,21.0,1680,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,1,327.0,483,GasA,TA,Y,SBrkr,483,504,1,987,1,1,1,1,2,1,TA,5,Typ,1,Fa,Detchd,1971,Unf,1.0,264.0,TA,TA,Y,275,1,1,1,1,1,Gd,MnWw,Shed,1,2,2010,COD,Normal
159672.017631819,1473,160,RM,21.0,1680,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,1,225.0,525,GasA,TA,Y,SBrkr,525,567,1,1092,1,1,1,1,3,1,TA,6,Typ,1,Ex,Detchd,1997,Unf,1.0,320.0,TA,TA,Y,1,1,1,1,1,1,Gd,MnPrv,Gar2,1,3,2010,WD,Normal
164167.518301885,1474,160,RL,24.0,2280,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,Stone,1.0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,1,341.0,855,GasA,TA,Y,SBrkr,855,601,1,1456,1,1,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2.0,440.0,TA,TA,Y,173,1,1,1,1,1,Gd,MnWw,Gar2,1,6,2010,WD,Normal
150891.638244053,1475,120,RL,24.0,2280,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,1.0,TA,TA,CBlock,Gd,TA,No,Unf,1,Unf,1,836.0,836,GasA,Ex,Y,SBrkr,836,1,1,836,1,1,1,1,2,1,TA,4,Typ,1,TA,Attchd,1975,Unf,1.0,308.0,TA,TA,Y,1,30,1,1,1,1,Gd,MnPrv,Othr,1,6,2010,WD,Normal
179460.96518734,1476,60,RL,102.0,12858,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,1,Unf,1,1590.0,1590,GasA,Ex,Y,SBrkr,1627,707,1,2334,1,1,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009,Fin,3.0,751.0,TA,TA,Y,144,133,1,1,1,1,Gd,GdWo,Shed,1,1,2010,New,Partial
185034.62891405,1477,20,RL,94.0,12883,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,1,Unf,1,1544.0,1544,GasA,Ex,Y,SBrkr,1544,1,1,1544,1,1,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2009,RFn,3.0,868.0,TA,TA,Y,1,35,1,1,1,1,Ex,MnWw,Gar2,1,6,2010,New,Partial
182352.192644656,1478,20,RL,90.0,11520,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,1,1588.0,1698,GasA,Ex,Y,SBrkr,1698,1,1,1698,1,1,2,1,3,1,Ex,7,Typ,1,Gd,Attchd,2005,Fin,3.0,730.0,TA,TA,Y,192,74,1,1,1,1,Gd,GdPrv,Gar2,1,6,2010,WD,Normal
183053.458213802,1479,20,RL,79.0,14122,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,1,1794.0,1822,GasA,Ex,Y,SBrkr,1822,1,1,1822,1,1,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005,RFn,3.0,678.0,TA,TA,Y,1,119,1,1,1,1,Ex,GdPrv,Shed,1,2,2010,WD,Normal
187823.339254278,1480,20,RL,110.0,14300,Pave,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,1,1473.0,2846,GasA,Ex,Y,SBrkr,2696,1,1,2696,1,1,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003,Fin,3.0,958.0,TA,TA,Y,220,150,1,1,1,1,Ex,GdPrv,Othr,1,6,2010,WD,Normal
186544.114327568,1481,60,RL,105.0,13650,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,1,1093.0,1671,GasA,Ex,Y,SBrkr,1687,563,1,2250,1,1,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002,Fin,3.0,756.0,TA,TA,Y,238,130,1,1,1,1,Gd,GdWo,Shed,1,6,2010,WD,Normal
158230.77520516,1482,120,RL,41.0,7132,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,1,1346.0,1370,GasA,Ex,Y,SBrkr,1370,1,1,1370,1,1,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2.0,484.0,TA,TA,Y,120,49,1,1,1,1,Gd,GdPrv,Othr,1,4,2010,WD,Normal
190552.829321091,1483,20,RL,100.0,18494,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkCmn,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1,Unf,1,1324.0,1324,GasA,Ex,Y,SBrkr,1324,1,1,1324,1,1,2,1,3,1,Gd,6,Typ,1,Ex,Attchd,2005,Fin,2.0,430.0,TA,TA,Y,36,23,1,1,1,1,Ex,GdPrv,Othr,1,1,2010,WD,Normal
147183.67487199,1484,120,RL,43.0,3203,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,1,1129.0,1145,GasA,Ex,Y,SBrkr,1145,1,1,1145,1,1,2,1,2,1,Gd,6,Typ,1,Po,Attchd,2006,Fin,2.0,437.0,TA,TA,Y,100,116,1,1,1,1,Ex,MnWw,Shed,1,1,2010,WD,Normal
185855.300905493,1485,80,RL,67.0,13300,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkCmn,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,1,58.0,384,GasA,Ex,Y,SBrkr,744,630,1,1374,1,1,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2.0,400.0,TA,TA,Y,100,1,1,1,1,1,Gd,GdPrv,Othr,1,6,2010,WD,Normal
174350.470676986,1486,60,RL,63.0,8577,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1,Unf,1,847.0,847,GasA,Ex,Y,SBrkr,847,886,1,1733,1,1,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2.0,433.0,TA,TA,Y,144,48,1,1,1,1,Gd,MnPrv,Gar2,1,4,2010,WD,Normal
201740.620690863,1487,60,RL,60.0,17433,Pave,Grvl,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,1,Unf,1,1629.0,1629,GasA,Ex,Y,SBrkr,1645,830,1,2475,1,1,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1998,Fin,3.0,962.0,TA,TA,Y,23,172,1,1,256,1,Ex,GdWo,Shed,1,1,2010,WD,Normal
162986.378895754,1488,20,RL,73.0,8987,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Av,Unf,1,Unf,1,1595.0,1595,GasA,Ex,Y,SBrkr,1595,1,1,1595,1,1,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2005,RFn,3.0,880.0,TA,TA,Y,144,1,1,1,1,1,Gd,MnPrv,Othr,1,5,2010,WD,Normal
162330.199085679,1489,20,FV,92.0,9215,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1,Unf,1,1218.0,1218,GasA,Ex,Y,SBrkr,1218,1,1,1218,1,1,2,1,2,1,Gd,4,Typ,1,Ex,Attchd,2009,RFn,2.0,676.0,TA,TA,Y,1,136,1,1,1,1,Gd,GdWo,Othr,1,4,2010,New,Partial
165845.938616539,1490,20,FV,84.0,10440,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,1.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,1,54.0,1468,GasA,Ex,Y,SBrkr,1468,1,1,1468,1,1,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2005,Fin,2.0,528.0,TA,TA,Y,1,102,1,1,216,1,Ex,MnWw,Gar2,1,5,2010,WD,Normal
180929.622876974,1491,60,RL,70.0,11920,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,1,Unf,1,831.0,831,GasA,Ex,Y,SBrkr,831,828,1,1659,1,1,2,1,3,1,Gd,8,Typ,1,Po,Attchd,2004,RFn,2.0,484.0,TA,TA,Y,144,68,1,1,1,1,Ex,GdWo,Othr,1,4,2010,WD,Normal
163481.501519718,1492,30,RH,70.0,9800,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkCmn,1.0,TA,Fa,BrkTil,TA,TA,No,Unf,1,Unf,1,816.0,816,GasA,TA,N,FuseA,1012,1,1,1012,1,1,1,1,2,1,TA,5,Typ,1,Gd,Detchd,1920,Unf,1.0,429.0,TA,TA,Y,121,1,80,1,1,1,Ex,GdPrv,Shed,1,4,2010,WD,Normal
187798.076714233,1493,20,RL,39.0,15410,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126,GLQ,859,223.0,1208,GasA,Ex,Y,SBrkr,1494,1,1,1494,1,1,2,1,3,1,TA,7,Typ,2,Fa,Attchd,1974,Fin,2.0,461.0,TA,TA,Y,296,1,186,1,1,1,Gd,GdPrv,Othr,1,4,2010,WD,Abnorml
198822.198942566,1494,60,RL,85.0,13143,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,TA,PConc,Gd,TA,No,LwQ,250,GLQ,981,1.0,1231,GasA,Ex,Y,SBrkr,1251,1098,1,2349,1,1,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3.0,762.0,TA,TA,Y,32,130,1,1,1,1,Ex,GdPrv,Gar2,1,6,2010,WD,Normal
194868.409899858,1495,60,RL,88.0,11134,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129,Unf,1,261.0,1390,GasA,Ex,Y,SBrkr,1402,823,1,2225,1,1,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1992,RFn,3.0,713.0,TA,TA,Y,198,30,1,1,1,1,Ex,MnWw,Shed,1,6,2010,WD,Normal
152605.298564403,1496,120,FV,25.0,4835,Pave,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,Stone,1.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298,Unf,1,190.0,1488,GasA,Ex,Y,SBrkr,1488,1,1,1488,1,1,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2004,Fin,2.0,506.0,TA,TA,Y,168,50,1,1,1,1,Ex,MnPrv,Shed,1,3,2010,WD,Normal
147797.702836811,1497,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1,Unf,1,840.0,840,GasA,Ex,Y,SBrkr,840,840,1,1680,1,1,2,1,2,1,Gd,3,Typ,1,Fa,Attchd,2004,RFn,2.0,588.0,TA,TA,Y,1,111,1,1,1,1,Ex,GdWo,Othr,1,1,2010,WD,Normal
150521.96899297,1498,160,FV,30.0,3215,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280,Unf,1,320.0,600,GasA,Ex,Y,SBrkr,600,600,1,1200,1,1,2,1,2,1,Gd,4,Typ,1,TA,Detchd,2004,RFn,2.0,480.0,TA,TA,Y,1,172,1,1,1,1,Ex,GdWo,Shed,1,4,2010,ConLD,Normal
146991.630153739,1499,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,Stone,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,368,ALQ,42,190.0,600,GasA,Ex,Y,SBrkr,600,600,1,1200,1,1,2,1,2,1,Gd,4,Typ,1,Ex,Detchd,2004,RFn,2.0,480.0,TA,TA,Y,1,172,1,1,1,1,Gd,GdPrv,Othr,1,2,2010,WD,Normal
150306.307814534,1500,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376,Unf,1,224.0,600,GasA,Ex,Y,SBrkr,600,636,1,1236,1,1,2,1,2,1,Gd,4,Typ,1,Ex,Detchd,2005,RFn,2.0,480.0,TA,TA,Y,1,166,1,1,1,1,Gd,GdPrv,Othr,1,5,2010,WD,Normal
151164.372534604,1501,160,FV,64.0,2980,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,Gd,TA,PConc,Gd,TA,No,GLQ,466,Unf,1,290.0,756,GasA,Ex,Y,SBrkr,756,756,1,1512,1,1,2,1,2,1,Gd,5,Typ,1,Po,Detchd,2000,Unf,2.0,440.0,TA,TA,Y,1,32,1,1,1,1,Gd,MnWw,Shed,1,5,2010,WD,Normal
151133.706960953,1502,160,FV,62.0,2403,Pave,Pave,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Stone,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,244,Unf,1,286.0,530,GasA,Ex,Y,SBrkr,530,550,1,1080,1,1,2,1,2,1,Gd,4,Typ,1,Ex,Attchd,2003,RFn,2.0,496.0,TA,TA,Y,1,50,1,1,1,1,Gd,GdPrv,Othr,1,6,2010,WD,Normal
156214.042540726,1503,20,FV,57.0,12853,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,BrkCmn,1.0,Gd,TA,PConc,Ex,Po,No,GLQ,1032,Unf,1,610.0,1642,GasA,Ex,Y,SBrkr,1418,1,1,1418,1,1,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,3.0,852.0,TA,TA,Y,160,192,1,224,1,1,Gd,MnPrv,Gar2,1,4,2010,New,Partial
171992.760735142,1504,60,FV,68.0,7379,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Stone,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,484,Unf,1,491.0,975,GasA,Ex,Y,SBrkr,975,873,1,1848,1,1,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000,RFn,2.0,592.0,TA,TA,Y,280,184,1,1,1,1,Ex,GdWo,Othr,1,4,2010,WD,Normal
173214.912549738,1505,20,FV,80.0,8000,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,833,Unf,1,659.0,1492,GasA,Ex,Y,SBrkr,1492,1,1,1492,1,1,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2002,RFn,2.0,596.0,TA,TA,Y,277,137,1,1,1,1,Ex,GdPrv,Othr,1,4,2010,WD,Normal
192429.187345783,1506,20,RL,64.0,10456,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,GLQ,506,Unf,1,1323.0,1829,GasA,Gd,Y,SBrkr,1829,1,1,1829,1,1,2,1,4,1,TA,8,Typ,1,Gd,Attchd,1967,RFn,2.0,535.0,TA,TA,Y,1,76,1,1,1,1,Gd,GdWo,Gar2,1,5,2010,WD,Normal
